UID,Type,Name,Programs,AKAs,Addresses,DOB
"36","Entity","AEROCARIBBEAN AIRLINES","CUBA","AERO-CARIBBEAN","Havana, Cuba",""
"173","Entity","ANGLO-CARIBBEAN CO., LTD.","CUBA","AVIA IMPORT","London, United Kingdom",""
"306","Entity","BANCO NACIONAL DE CUBA","CUBA","BNC | NATIONAL BANK OF CUBA","Zurich, Switzerland | Madrid, Spain | Tokyo, Japan | Panama City, Panama",""
"424","Entity","BOUTIQUE LA MAISON","CUBA","","Panama City, Panama",""
"475","Entity","CASA DE CUBA","CUBA","","Spain | Mexico",""
"480","Entity","CECOEX, S.A.","CUBA","","Panama City, Panama",""
"535","Entity","CIMEX","CUBA","","Mexico, D.F., Mexico",""
"536","Entity","CIMEX IBERICA","CUBA","","Spain",""
"537","Entity","CIMEX, S.A.","CUBA","","Panama",""
"540","Entity","COMERCIAL IBEROAMERICANA, S.A.","CUBA","COIBA","Spain",""
"551","Entity","COMERCIAL CIMEX, S.A.","CUBA","","Panama",""
"552","Entity","COMERCIAL DE RODAJES Y MAQUINARIA, S.A.","CUBA","CRYMSA","Madrid, Spain",""
"555","Entity","COMERCIALIZACION DE PRODUCTOS VARIOS","CUBA","COPROVA | COPROVA SARL","Paris, France",""
"559","Entity","COMPANIA DE IMPORTACION Y EXPORTACION IBERIA","CUBA","CIMEX","Spain",""
"576","Entity","CORPORACION CIMEX, S.A.","CUBA","","Panama",""
"578","Entity","COTEI","CUBA","","Milan, Italy",""
"589","Entity","CRYMSA - ARGENTINA, S.A.","CUBA","","Buenos Aires, Argentina",""
"590","Entity","CUBACANCUN CIGARS AND GIFT SHOPS","CUBA","","Cancun, Mexico",""
"591","Entity","CUBAEXPORT","CUBA","","Spain",""
"592","Entity","CUBAFRUTAS","CUBA","","Spain",""
"593","Entity","CUBAN CIGARS TRADE","CUBA","","Italy",""
"621","Entity","CUBANATUR","CUBA","","Mexico, D.F., Mexico",""
"622","Entity","CUBATABACO","CUBA","","Spain",""
"636","Entity","CUMEXINT, S.A.","CUBA","","Mexico City, Mexico",""
"651","Entity","DELVEST HOLDING, S.A.","CUBA","DELVEST HOLDING COMPANY","Geneva, Switzerland",""
"701","Entity","EDICIONES CUBANAS","CUBA","","Spain",""
"702","Entity","EDYJU, S.A.","CUBA","","Panama",""
"735","Entity","EMPRESA CUBANA DE AVIACION","CUBA","CUBANA AIRLINES","Georgetown, Guyana | Paris, France | Luanda, Angola | Moscow, Russia | Buenos Aires, Argentina | Berlin, Germany | Montreal, Canada | Prague, Czech Republic | Lima, Peru | Port au Prince, Haiti | London, United Kingdom | Kingston, Jamaica | Mexico City, Mexico | Panama City, Panama | Barbados | Madrid, Spain",""
"751","Entity","EMPRESA CUBANA DE PESCADOS Y MARISCOS","CUBA","CARIBEX | CARIBBEAN EXPORT ENTERPRISE","Paris, France | Milan, Italy | Moscow, Russia | Madrid, Spain | Cologne, Germany | Ontario, Canada | Tokyo, Japan",""
"758","Entity","EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL","CUBA","CUBATUR","Buenos Aires, Argentina",""
"767","Entity","ETCO INTERNATIONAL COMMODITIES LTD.","CUBA","","London, United Kingdom",""
"768","Entity","ETCO INTERNATIONAL COMPANY, LIMITED","CUBA","","Tokyo, Japan",""
"815","Entity","GALAX TRADING CO., LTD.","CUBA","GALAX INC.","Montreal, Canada",""
"906","Entity","HAVIN BANK LIMITED","CUBA","HAVANA INTERNATIONAL BANK, LTD","London, United Kingdom | Havana, Cuba",""
"907","Entity","HAVANATUR","CUBA","","Paris, France",""
"1042","Entity","INSTITUTO NACIONAL DE TURISMO DE CUBA","CUBA","","Spain",""
"1043","Entity","INTERCONSULT","CUBA","","Panama",""
"1241","Entity","KAVE, S.A.","CUBA","","Panama",""
"1287","Entity","LA EMPRESA CUBANA DE FLETES","CUBA","CUFLET | CUBAN FREIGHT ENTERPRISE","Pyongyang, Korea, North | Moscow, Russia | Barcelona, Spain | Rostock, Germany | Genoa, Italy | Syczecin, Poland | Rotterdam, Netherlands | Mexico | Buenos Aires, Argentina | Montreal, Canada | Varna, Bulgaria",""
"1316","Entity","LEVERAGE, S.A.","CUBA","","Buenos Aires, Argentina",""
"1555","Entity","NIREF","CUBA","","Rotterdam, Netherlands",""
"1570","Entity","NORDSTRAND LTD.","CUBA","","Liechtenstein",""
