Type,Name,Nationality/Country,Date_Info,Data_ID,Reference
"Individual (개인)","ERIC BADEGE","Democratic Republic of the Congo","","6907993","CDi.001"
"Individual (개인)","FRANK KAKOLELE BWAMBALE","Democratic Republic of the Congo","","6907994","CDi.002"
"Individual (개인)","GASTON IYAMUREMYE","Rwanda","","6907995","CDi.003"
"Individual (개인)","INNOCENT KAINA","","","6907996","CDi.004"
"Individual (개인)","JÉRÔME KAKWAVU BUKANDE","Democratic Republic of the Congo","","6907997","CDi.005"
"Individual (개인)","GERMAIN KATANGA","Democratic Republic of the Congo","1978-04-28","6907998","CDi.006"
"Individual (개인)","THOMAS LUBANGA","Democratic Republic of the Congo","","6908023","CDi.007"
"Individual (개인)","SULTANI MAKENGA","Democratic Republic of the Congo","1973-12-25","6907999","CDi.008"
"Individual (개인)","KHAWA PANGA MANDRO","Democratic Republic of the Congo","1973-08-20","6908000","CDi.009"
"Individual (개인)","CALLIXTE MBARUSHIMANA","Rwanda","1963-07-24","6908001","CDi.010"
"Individual (개인)","IRUTA DOUGLAS MPAMO","Democratic Republic of the Congo","1965-12-28","6908002","CDi.011"
"Individual (개인)","SYLVESTRE MUDACUMURA","Rwanda","","6908003","CDi.012"
"Individual (개인)","LEODOMIR MUGARAGU","Rwanda","","6908004","CDi.013"
"Individual (개인)","LEOPOLD MUJYAMBERE","Rwanda","1962-03-17","6908006","CDi.014"
"Individual (개인)","JAMIL MUKULU","Uganda","1964-01-01","6908005","CDi.015"
"Individual (개인)","IGNACE MURWANASHYAKA","Rwanda","1963-05-14","6908007","CDi.016"
"Individual (개인)","STRATON MUSONI","Rwanda","1961-04-06","6908008","CDi.017"
"Individual (개인)","JULES MUTEBUTSI","Democratic Republic of the Congo","","6908009","CDi.018"
"Individual (개인)","BAUDOIN NGARUYE WA MYAMURO","Democratic Republic of the Congo","1978-04-01","6908010","CDi.019"
"Individual (개인)","MATHIEU, CHUI NGUDJOLO","Democratic Republic of the Congo","1970-10-08","6908011","CDi.020"
"Individual (개인)","FLORIBERT NGABU NJABU","Democratic Republic of the Congo","1971-05-23","6908012","CDi.021"
"Individual (개인)","LAURENT NKUNDA","Democratic Republic of the Congo","1967-02-06","6908013","CDi.022"
"Individual (개인)","FELICIEN NSANZUBUKIRE","Rwanda","","6908014","CDi.023"
"Individual (개인)","PACIFIQUE NTAWUNGUKA","Rwanda","1964-01-01","6908015","CDi.024"
"Individual (개인)","JAMES NYAKUNI","Uganda","","6908016","CDi.025"
"Individual (개인)","STANISLAS NZEYIMANA","Rwanda","1966-01-01","6908017","CDi.026"
"Individual (개인)","DIEUDONNÉ OZIA MAZIO","Democratic Republic of the Congo","1949-06-06","6908018","CDi.027"
"Individual (개인)","JEAN-MARIE LUGERERO RUNIGA","","1966-09-09","6908019","CDi.028"
"Individual (개인)","NTABO NTABERI SHEKA","Democratic Republic of the Congo","1976-04-04","6908020","CDi.029"
"Individual (개인)","BOSCO TAGANDA","Democratic Republic of the Congo","","6908021","CDi.030"
"Individual (개인)","INNOCENT ZIMURINDA","Democratic Republic of the Congo","1972-09-01","6908022","CDi.031"
"Individual (개인)","MUHINDO AKILI MUNDOS","Democratic Republic of the Congo","1972-11-10","6908661","CDi.032"
"Individual (개인)","GUIDON SHIMIRAY MWISSA","","1980-03-13","6908662","CDi.033"
"Individual (개인)","LUCIEN NZAMBAMWITA","Rwanda","","6908663","CDi.034"
"Individual (개인)","GÉDÉON KYUNGU MUTANGA WA BAFUNKWA KANONGA","","","6908664","CDi.035"
"Individual (개인)","SEKA BALUKU","Uganda","","6908834","CDi.036"
"Individual (개인)","PROTOGÈNE RUVUGAYIMIKORE","","","6908955","CDi.037"
"Individual (개인)","BERNARD MAHESHE BYAMUNGU","Democratic Republic of the Congo","1974-10-10","6908954","CDi.038"
"Individual (개인)","APOLLINAIRE HAKIZIMANA","Rwanda","","6908993","CDi.039"
"Individual (개인)","AHMAD MAHMOOD HASSAN","United Republic of Tanzania","1997-07-21","6908994","CDi.040"
"Individual (개인)","MICHEL RUKUNDA","Democratic Republic of the Congo","1974-09-12","6908995","CDi.041"
"Individual (개인)","MOHAMED ALI NKALUBO","Uganda","","6908996","CDi.042"
"Individual (개인)","WILLIAM AMURI YAKUTUMBA","Democratic Republic of the Congo","","6908997","CDi.043"
"Individual (개인)","WILLY NGOMA","Democratic Republic of the Congo","","6908998","CDi.044"
"Individual (개인)","FRANÇOIS YANGOUVONDA BOZIZÉ","Central African Republic","1946-10-14","690727","CFi.001"
"Individual (개인)","NOURREDINE ADAM","Central African Republic","1970-01-01","690728","CFi.002"
"Individual (개인)","ALFRED YEKATOM","Central African Republic","1976-06-23","6908464","CFi.004"
"Individual (개인)","HABIB SOUSSOU","Central African Republic","1980-03-13","6908465","CFi.005"
"Individual (개인)","OUMAR YOUNOUS ABDOULAY","Sudan","1970-04-02","6908466","CFi.006"
